================ Training Loss (Fri Jan 28 12:56:30 2022) ================
(epoch: 364, iters: 10, time: 0.147) G_GAN: 1.127 G_L1: 12.833 D_real: 0.773 D_fake: 0.240 
(epoch: 367, iters: 20, time: 0.161) G_GAN: 0.798 G_L1: 28.830 D_real: 0.592 D_fake: 1.184 
(epoch: 370, iters: 30, time: 0.158) G_GAN: 1.676 G_L1: 24.423 D_real: 0.773 D_fake: 0.205 
(epoch: 374, iters: 10, time: 0.144) G_GAN: 1.459 G_L1: 18.504 D_real: 1.212 D_fake: 0.083 
(epoch: 377, iters: 20, time: 0.156) G_GAN: 1.425 G_L1: 27.381 D_real: 0.591 D_fake: 0.258 
(epoch: 380, iters: 30, time: 0.151) G_GAN: 1.674 G_L1: 18.480 D_real: 0.296 D_fake: 0.165 
(epoch: 384, iters: 10, time: 0.151) G_GAN: 1.422 G_L1: 22.774 D_real: 0.283 D_fake: 0.298 
(epoch: 387, iters: 20, time: 0.173) G_GAN: 1.865 G_L1: 18.272 D_real: 0.448 D_fake: 0.195 
(epoch: 390, iters: 30, time: 0.156) G_GAN: 1.288 G_L1: 21.412 D_real: 0.284 D_fake: 0.539 
(epoch: 394, iters: 10, time: 0.156) G_GAN: 1.453 G_L1: 18.265 D_real: 0.215 D_fake: 0.639 
(epoch: 397, iters: 20, time: 0.152) G_GAN: 1.530 G_L1: 21.336 D_real: 0.057 D_fake: 0.642 
(epoch: 400, iters: 30, time: 0.163) G_GAN: 1.575 G_L1: 24.887 D_real: 0.331 D_fake: 0.206 
(epoch: 404, iters: 10, time: 0.150) G_GAN: 1.833 G_L1: 25.668 D_real: 0.294 D_fake: 0.349 
(epoch: 407, iters: 20, time: 0.156) G_GAN: 2.135 G_L1: 27.281 D_real: 0.087 D_fake: 0.448 
(epoch: 410, iters: 30, time: 0.159) G_GAN: 0.819 G_L1: 28.432 D_real: 1.417 D_fake: 0.702 
(epoch: 414, iters: 10, time: 0.137) G_GAN: 0.892 G_L1: 20.674 D_real: 0.926 D_fake: 0.490 
(epoch: 417, iters: 20, time: 0.168) G_GAN: 1.897 G_L1: 20.545 D_real: 0.127 D_fake: 0.475 
(epoch: 420, iters: 30, time: 0.146) G_GAN: 1.299 G_L1: 14.994 D_real: 0.486 D_fake: 0.286 
(epoch: 424, iters: 10, time: 0.168) G_GAN: 1.442 G_L1: 27.315 D_real: 0.457 D_fake: 0.255 
(epoch: 427, iters: 20, time: 0.155) G_GAN: 1.463 G_L1: 24.502 D_real: 0.059 D_fake: 0.518 
(epoch: 430, iters: 30, time: 0.155) G_GAN: 1.303 G_L1: 20.380 D_real: 0.462 D_fake: 0.292 
(epoch: 434, iters: 10, time: 0.146) G_GAN: 1.003 G_L1: 23.909 D_real: 0.944 D_fake: 0.296 
(epoch: 437, iters: 20, time: 0.171) G_GAN: 0.861 G_L1: 28.638 D_real: 0.556 D_fake: 0.600 
(epoch: 440, iters: 30, time: 0.153) G_GAN: 1.281 G_L1: 20.787 D_real: 0.345 D_fake: 0.209 
(epoch: 444, iters: 10, time: 0.155) G_GAN: 0.837 G_L1: 21.879 D_real: 0.293 D_fake: 0.532 
(epoch: 447, iters: 20, time: 0.170) G_GAN: 0.894 G_L1: 22.653 D_real: 0.337 D_fake: 1.253 
(epoch: 450, iters: 30, time: 0.168) G_GAN: 1.189 G_L1: 24.798 D_real: 0.186 D_fake: 1.004 
(epoch: 454, iters: 10, time: 0.166) G_GAN: 0.944 G_L1: 18.832 D_real: 1.313 D_fake: 0.257 
(epoch: 457, iters: 20, time: 0.155) G_GAN: 2.199 G_L1: 25.349 D_real: 0.334 D_fake: 0.090 
(epoch: 460, iters: 30, time: 0.159) G_GAN: 1.776 G_L1: 19.308 D_real: 0.193 D_fake: 0.239 
(epoch: 464, iters: 10, time: 0.165) G_GAN: 1.831 G_L1: 26.274 D_real: 0.185 D_fake: 0.132 
(epoch: 467, iters: 20, time: 0.156) G_GAN: 0.987 G_L1: 31.692 D_real: 0.490 D_fake: 0.609 
(epoch: 470, iters: 30, time: 0.186) G_GAN: 1.272 G_L1: 25.935 D_real: 0.768 D_fake: 0.620 
(epoch: 474, iters: 10, time: 0.160) G_GAN: 0.678 G_L1: 22.824 D_real: 0.804 D_fake: 1.159 
(epoch: 477, iters: 20, time: 0.161) G_GAN: 1.517 G_L1: 23.277 D_real: 0.181 D_fake: 0.392 
(epoch: 480, iters: 30, time: 0.182) G_GAN: 1.032 G_L1: 26.717 D_real: 0.049 D_fake: 2.450 
(epoch: 484, iters: 10, time: 0.157) G_GAN: 1.421 G_L1: 24.916 D_real: 0.047 D_fake: 0.551 
(epoch: 487, iters: 20, time: 0.179) G_GAN: 1.356 G_L1: 26.006 D_real: 0.477 D_fake: 0.371 
(epoch: 490, iters: 30, time: 0.163) G_GAN: 0.992 G_L1: 16.148 D_real: 0.981 D_fake: 0.580 
(epoch: 494, iters: 10, time: 0.159) G_GAN: 1.534 G_L1: 29.116 D_real: 0.527 D_fake: 0.306 
(epoch: 497, iters: 20, time: 0.175) G_GAN: 0.924 G_L1: 18.174 D_real: 0.628 D_fake: 1.053 
(epoch: 500, iters: 30, time: 0.181) G_GAN: 1.164 G_L1: 23.708 D_real: 0.313 D_fake: 0.878 
(epoch: 504, iters: 10, time: 0.171) G_GAN: 1.355 G_L1: 18.412 D_real: 0.420 D_fake: 0.220 
(epoch: 507, iters: 20, time: 0.185) G_GAN: 1.278 G_L1: 17.168 D_real: 0.817 D_fake: 0.222 
(epoch: 510, iters: 30, time: 0.167) G_GAN: 1.023 G_L1: 20.079 D_real: 0.137 D_fake: 0.856 
(epoch: 514, iters: 10, time: 0.167) G_GAN: 1.166 G_L1: 21.340 D_real: 0.208 D_fake: 0.573 
(epoch: 517, iters: 20, time: 0.185) G_GAN: 1.523 G_L1: 12.452 D_real: 0.095 D_fake: 0.513 
(epoch: 520, iters: 30, time: 0.184) G_GAN: 1.383 G_L1: 29.038 D_real: 0.215 D_fake: 0.839 
(epoch: 524, iters: 10, time: 0.181) G_GAN: 1.775 G_L1: 24.438 D_real: 0.127 D_fake: 0.349 
(epoch: 527, iters: 20, time: 0.184) G_GAN: 1.699 G_L1: 20.128 D_real: 0.191 D_fake: 0.322 
(epoch: 530, iters: 30, time: 0.179) G_GAN: 1.018 G_L1: 26.761 D_real: 0.218 D_fake: 0.802 
(epoch: 534, iters: 10, time: 0.164) G_GAN: 0.993 G_L1: 23.102 D_real: 1.947 D_fake: 0.117 
(epoch: 537, iters: 20, time: 0.186) G_GAN: 1.232 G_L1: 18.535 D_real: 0.175 D_fake: 0.459 
(epoch: 540, iters: 30, time: 0.180) G_GAN: 1.315 G_L1: 10.514 D_real: 0.940 D_fake: 0.167 
(epoch: 544, iters: 10, time: 0.160) G_GAN: 1.456 G_L1: 17.281 D_real: 0.385 D_fake: 0.447 
(epoch: 547, iters: 20, time: 0.192) G_GAN: 1.005 G_L1: 28.507 D_real: 0.114 D_fake: 1.274 
(epoch: 550, iters: 30, time: 0.169) G_GAN: 0.647 G_L1: 25.224 D_real: 0.091 D_fake: 1.773 
(epoch: 554, iters: 10, time: 0.183) G_GAN: 0.980 G_L1: 21.285 D_real: 0.084 D_fake: 0.982 
(epoch: 557, iters: 20, time: 0.174) G_GAN: 0.765 G_L1: 23.265 D_real: 0.959 D_fake: 0.503 
(epoch: 560, iters: 30, time: 0.186) G_GAN: 0.688 G_L1: 21.508 D_real: 1.324 D_fake: 0.356 
(epoch: 564, iters: 10, time: 0.179) G_GAN: 1.522 G_L1: 21.375 D_real: 0.787 D_fake: 0.190 
(epoch: 567, iters: 20, time: 0.174) G_GAN: 1.145 G_L1: 13.109 D_real: 0.610 D_fake: 0.450 
(epoch: 570, iters: 30, time: 0.163) G_GAN: 1.171 G_L1: 21.198 D_real: 0.344 D_fake: 0.997 
(epoch: 574, iters: 10, time: 0.185) G_GAN: 1.353 G_L1: 25.377 D_real: 0.128 D_fake: 0.491 
(epoch: 577, iters: 20, time: 0.184) G_GAN: 1.114 G_L1: 17.153 D_real: 0.084 D_fake: 0.702 
(epoch: 580, iters: 30, time: 0.185) G_GAN: 1.159 G_L1: 31.297 D_real: 0.228 D_fake: 0.502 
(epoch: 584, iters: 10, time: 0.171) G_GAN: 1.350 G_L1: 23.715 D_real: 0.393 D_fake: 0.650 
(epoch: 587, iters: 20, time: 0.188) G_GAN: 1.079 G_L1: 18.719 D_real: 0.192 D_fake: 1.059 
(epoch: 590, iters: 30, time: 0.194) G_GAN: 0.808 G_L1: 31.743 D_real: 0.586 D_fake: 0.793 
(epoch: 594, iters: 10, time: 0.199) G_GAN: 0.683 G_L1: 28.722 D_real: 0.130 D_fake: 1.458 
(epoch: 597, iters: 20, time: 0.167) G_GAN: 1.191 G_L1: 23.847 D_real: 0.303 D_fake: 0.735 
(epoch: 600, iters: 30, time: 0.190) G_GAN: 1.777 G_L1: 19.628 D_real: 0.291 D_fake: 0.188 
(epoch: 604, iters: 10, time: 0.175) G_GAN: 1.783 G_L1: 17.607 D_real: 0.292 D_fake: 0.177 
(epoch: 607, iters: 20, time: 0.193) G_GAN: 0.968 G_L1: 25.811 D_real: 0.098 D_fake: 1.287 
(epoch: 610, iters: 30, time: 0.183) G_GAN: 1.735 G_L1: 23.997 D_real: 0.189 D_fake: 0.297 
(epoch: 614, iters: 10, time: 0.192) G_GAN: 1.392 G_L1: 21.787 D_real: 0.659 D_fake: 0.272 
(epoch: 617, iters: 20, time: 0.193) G_GAN: 1.585 G_L1: 24.591 D_real: 0.340 D_fake: 0.281 
(epoch: 620, iters: 30, time: 0.179) G_GAN: 0.991 G_L1: 13.969 D_real: 0.785 D_fake: 0.351 
(epoch: 624, iters: 10, time: 0.191) G_GAN: 1.353 G_L1: 28.185 D_real: 0.164 D_fake: 0.684 
(epoch: 627, iters: 20, time: 0.191) G_GAN: 1.687 G_L1: 19.247 D_real: 0.778 D_fake: 0.136 
(epoch: 630, iters: 30, time: 0.172) G_GAN: 1.025 G_L1: 22.264 D_real: 0.987 D_fake: 0.334 
(epoch: 634, iters: 10, time: 0.181) G_GAN: 1.170 G_L1: 18.559 D_real: 0.505 D_fake: 0.501 
(epoch: 637, iters: 20, time: 0.176) G_GAN: 1.288 G_L1: 19.398 D_real: 0.226 D_fake: 0.473 
(epoch: 640, iters: 30, time: 0.193) G_GAN: 1.196 G_L1: 24.023 D_real: 0.348 D_fake: 0.504 
(epoch: 644, iters: 10, time: 0.182) G_GAN: 1.983 G_L1: 24.473 D_real: 0.415 D_fake: 0.098 
(epoch: 647, iters: 20, time: 0.189) G_GAN: 1.598 G_L1: 24.233 D_real: 0.318 D_fake: 0.682 
(epoch: 650, iters: 30, time: 0.178) G_GAN: 1.709 G_L1: 21.127 D_real: 0.376 D_fake: 0.154 
(epoch: 654, iters: 10, time: 0.201) G_GAN: 1.318 G_L1: 20.111 D_real: 1.217 D_fake: 0.241 
(epoch: 657, iters: 20, time: 0.184) G_GAN: 1.818 G_L1: 18.054 D_real: 0.322 D_fake: 0.211 
(epoch: 660, iters: 30, time: 0.190) G_GAN: 1.142 G_L1: 20.307 D_real: 0.101 D_fake: 0.672 
(epoch: 664, iters: 10, time: 0.191) G_GAN: 1.413 G_L1: 18.367 D_real: 0.550 D_fake: 0.270 
(epoch: 667, iters: 20, time: 0.184) G_GAN: 2.433 G_L1: 14.787 D_real: 0.611 D_fake: 0.083 
(epoch: 670, iters: 30, time: 0.194) G_GAN: 1.110 G_L1: 22.789 D_real: 0.117 D_fake: 0.715 
(epoch: 674, iters: 10, time: 0.174) G_GAN: 1.029 G_L1: 13.973 D_real: 0.304 D_fake: 0.496 
(epoch: 677, iters: 20, time: 0.213) G_GAN: 1.921 G_L1: 20.307 D_real: 1.164 D_fake: 0.114 
(epoch: 680, iters: 30, time: 0.199) G_GAN: 0.584 G_L1: 21.886 D_real: 0.153 D_fake: 1.425 
(epoch: 684, iters: 10, time: 0.187) G_GAN: 1.048 G_L1: 19.315 D_real: 0.219 D_fake: 0.586 
(epoch: 687, iters: 20, time: 0.197) G_GAN: 1.051 G_L1: 19.700 D_real: 0.989 D_fake: 0.846 
(epoch: 690, iters: 30, time: 0.197) G_GAN: 0.835 G_L1: 22.481 D_real: 0.808 D_fake: 0.551 
(epoch: 694, iters: 10, time: 0.197) G_GAN: 1.007 G_L1: 26.895 D_real: 0.352 D_fake: 0.581 
(epoch: 697, iters: 20, time: 0.203) G_GAN: 0.932 G_L1: 20.468 D_real: 0.719 D_fake: 0.565 
(epoch: 700, iters: 30, time: 0.205) G_GAN: 1.953 G_L1: 23.957 D_real: 0.191 D_fake: 0.170 
(epoch: 704, iters: 10, time: 0.204) G_GAN: 1.022 G_L1: 25.113 D_real: 0.306 D_fake: 0.551 
(epoch: 707, iters: 20, time: 0.197) G_GAN: 0.857 G_L1: 21.137 D_real: 0.137 D_fake: 0.852 
(epoch: 710, iters: 30, time: 0.182) G_GAN: 1.612 G_L1: 21.632 D_real: 0.275 D_fake: 0.208 
(epoch: 714, iters: 10, time: 0.204) G_GAN: 1.939 G_L1: 27.974 D_real: 0.378 D_fake: 0.167 
(epoch: 717, iters: 20, time: 0.210) G_GAN: 1.140 G_L1: 25.806 D_real: 0.149 D_fake: 0.490 
(epoch: 720, iters: 30, time: 0.197) G_GAN: 1.891 G_L1: 29.244 D_real: 0.391 D_fake: 0.419 
(epoch: 724, iters: 10, time: 0.196) G_GAN: 1.811 G_L1: 22.885 D_real: 0.610 D_fake: 0.196 
(epoch: 727, iters: 20, time: 0.200) G_GAN: 0.762 G_L1: 20.219 D_real: 0.197 D_fake: 0.886 
(epoch: 730, iters: 30, time: 0.209) G_GAN: 1.124 G_L1: 18.194 D_real: 0.256 D_fake: 0.504 
(epoch: 734, iters: 10, time: 0.212) G_GAN: 1.150 G_L1: 27.483 D_real: 0.232 D_fake: 0.458 
(epoch: 737, iters: 20, time: 0.200) G_GAN: 1.288 G_L1: 22.486 D_real: 0.303 D_fake: 0.324 
(epoch: 740, iters: 30, time: 0.208) G_GAN: 0.802 G_L1: 23.692 D_real: 1.110 D_fake: 0.573 
(epoch: 744, iters: 10, time: 0.208) G_GAN: 1.677 G_L1: 21.909 D_real: 0.883 D_fake: 0.228 
(epoch: 747, iters: 20, time: 0.210) G_GAN: 0.559 G_L1: 27.865 D_real: 0.263 D_fake: 1.306 
